lokacija,naziv_gc,tip_zdenca,status_odrz,aktivan_da_ne,teren_dane,vlasnik_ki,odrzava_ki,zkc_oznaka,broj_vodomjera,napomena_teren,pozicija_tocnost,lon,lat
Rokov perivoj 4,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 1218/1,? Nije izdan račun,"Rokov perivoj, nasuprot kućnog broja 4",GNSS,15.9676254069118,45.8151128315054
Čerinina ulica kod kbr. 13,Peščenica - Žitnjak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 2046/11,11118292,"zapadno od parka , nasuprot kbr Čerinina 13",GNSS,16.0072397857233,45.8108525350585
Trg Francuske Republike (zapadni dio parka preko puta k.br.9),Črnomerec,Viktorija zdenac,nije u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 5224,? Nije izdan račun,jugozapadno od igralista,GNSS,15.9536286420027,45.8103403625423
Okretište Savski most,Trešnjevka - jug,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 6016/81,11118447,okretište Savski most (zapadna strana),GNSS,15.9523697079872,45.7850684629692
"Križanje Šubićeve i Martićeve ulice, južni ulaz na tržnicu Kvaternikov trg",Donji grad,Vindabona,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Tržnice Zagreb,CENTAR NOVI 6481/2,,izgrađen zdenac pitke vode,GNSS,15.9956713866441,45.8128057412384
"Grgura Ninskog-Miramarski podvožnjak, adrenalinski park sa spravama",Donji grad,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR NOVI 2945,,Adrenalinski park sa spravama za vježbanje,GNSS,15.9747544306177,45.8045917550948
Breznička I. - Kruge,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 1800/1,,nasuprot Breznicka kbr. 1,GNSS,15.9861348992349,45.799304470219
Pile I. - Kruge,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5549/1,,krizanje ulice Kruge i ulica Pile I.,GNSS,15.9907486394494,45.7956311526271
Sprečka ulica 33A - u parku,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5605,,"zapadni dio parkića, ispod Slavonske avenije . Sprečka 33A",GNSS,15.9826472117098,45.795230986989
"Trg Nikole Šubića Zrinskog (Zrinjevac), jugoistocno od paviljona ",Donji grad,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR NOVI 2432/1,,"na Trgu Nikole Šubića Zrinskog (Zrinjevac) , jugoistocno od paviljona -14,8 metara",GNSS,15.9785051708148,45.8103558596749
Radonjska ulica kod kbr. 9,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5514,,"nasuprot kucnog broja 9, Radonjska ulica ",GNSS,15.9664960725418,45.8013879458333
Savica Prisavlje - piknik park,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5436/2,,"sjeverno od nasipa, na juznom dijelu parka ",GNSS,15.9971378980165,45.7885103023327
Savica Prisavlje - piknik park,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5437/2,,izvorno SKI lokacija,GNSS,15.9983826441472,45.7883266721267
Savica Prisavlje - piknik park,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5441/3,,izvorno SKI lokacija,GNSS,15.9989959088464,45.7880043555248
Savica Prisavlje - piknik park,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5440/1,,uz sjevernu ogradu izvan parka za pse ,GNSS,15.9997031341821,45.7888708203377
Šoltanska ulica kod kbr. 17,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5582,,preko puta kucnog broja 17 (Šoltanska ulica),GNSS,15.9982676169219,45.7981647115462
Groblje Mirogoj - jug,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,izvorno SKI lokacija,GNSS,15.9894089129953,45.8331599667715
Križanje ulice Pile II. i ulice Pile I.,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5593/1,,krizanje ulice Pile II. i ulice Pile I.,GNSS,15.9917574198545,45.796068761912
Park Maksimir - uz glavni ulaz,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,GRAD ZAGREB 7787/2,,"glavni ulaz u park na lijevu stranu , uz javnu ustanovu kbr 1",GNSS,16.0154196515544,45.8201355612181
Ravnice školsko igralište - Aleja Antuna Augustinčića kod kbr. 8,Maksimir,Vindabona,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,GRAD ZAGREB 7705/450,,na sportskim terenima uz školsko igralište,GNSS,16.0248136483395,45.8182028645024
Trnjanska cesta nasuprot kbr 117. - uz nasip,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5776,,"uz nasip,  nasuprot kucnog broja 117 (Trnjanska cesta)",GNSS,15.9800417382842,45.7907029381217
Savica Prisavlje - park za pse,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5440/1,,u parku za pse ,GNSS,15.9996728302458,45.7887588606595
Šetalište 150. brigade Hrvatske vojske,Stenjevec,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradsko stambeno-komunalno gospodarstvo d.o.o.,DONJE VRAPČE 4986/89,,"unutar parka, sjeverno od dječjeg igrališta",GNSS,15.9073175982003,45.7974982350225
Okretište Dubrava,Gornja Dubrava,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradsko stambeno-komunalno gospodarstvo d.o.o.,GRANEŠINA neusklađeno,,okretiste Dubrava; dodano s Open Street Map,GNSS,16.0367792660649,45.8243492075742
Trnsko - tržnica,Novi Zagreb - zapad,Vindabona,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Tržnice Zagreb,KLARA 1543/6,,"tržnica Trnsko, jedna slavina radi druga ne ",GNSS,15.9641471636618,45.7721057134341
Galovačka ulica,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 661,,nasuprot kbr 13 i 15 ( Galovačka ulica),GNSS,15.9698124058561,45.800288471137
Kruge kod kbr. 29 ,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5549/1,,Kruge kod kbr. 29 - dodano s Open Street Maps,GNSS,15.9898396738965,45.7965363072231
Zvornička ulica - istočna strana tržnice Trešnjevka,Trešnjevka - sjever,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Tržnice Zagreb,GRAD ZAGREB 4714/1,,,GNSS,15.9540358280659,45.7991373785357
Tržnica Špansko - Ulica Dobriše Cesarića,Stenjevec,Ostalo,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Tržnice Zagreb,DONJE VRAPČE 5170,,sredina tržnice Špansko (unutar nadstrešnice),GNSS,15.898552259174,45.8024201580398
Tržnica Kustošija,Črnomerec,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Tržnice Zagreb,VRAPČE NOVO 2284/1,,na južnom dijelu tržnice ,GNSS,15.9288244041162,45.8139265949721
Slavonska avenija kod HRT,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5626,,nasuprot kbr 132 Miramarska cesta ,GNSS,15.9723899417477,45.7938901100255
Trnjanska struga južno od zgrade HRT ,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5775,,nasuprot kbr 24 Trnjanska struga,GNSS,15.975052489948,45.7917058765599
Ulica Prudi kod kbr. 26A ,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5662/1,,ispred kućnog broja 26 ulica Prudi ,GNSS,15.9776003072403,45.7921181080949
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,DONJE VRAPČE 7362,,drinking_fountain - dodano s Open Street Map,GNSS,15.9105337546608,45.7815071886105
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,DONJE VRAPČE 7362,,jugozapadna strana jezera; približno prema Open Street Map,GNSS,15.9132066366875,45.7789577848684
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,DONJE VRAPČE 7362,,jugozapadna strana jezera; približno prema Open Street Map,GNSS,15.914425736865,45.7800888800187
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,VRAPČE neusklađeno,,sjeverna strana Malog jezera; približno prema Open Street Map,GNSS,15.9329054000369,45.7805067620623
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,DONJE VRAPČE 7365,,"sa sjeverne strane jezera, nasuprot tribina na veslačkoj stazi; približno prema Open Street Map",GNSS,15.9167654663907,45.7858627163896
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,DONJE VRAPČE 7365,,sjeverna strana jezera nasuprot tribina na veslačkoj stazi; približno prema Open Street Map,GNSS,15.9146763091925,45.7867864296527
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,VRAPČE neusklađeno,,sjeverna strana Malog jezera; približno prema Open Street Map,GNSS,15.934711871944,45.7810267915032
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,VRAPČE neusklađeno,,uz Malo jezero za istocne strane; približno prema Open Street Map,GNSS,15.9367861195675,45.7804898756344
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,VRAPČE neusklađeno,,istočna strana u odnosu na jezero; približno prema Open Street Map,GNSS,15.9371991744557,45.7793131635617
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,DONJE VRAPČE 7362,,jugozapadni dio jezera; približno prema Open Street Map,GNSS,15.9128144854405,45.7806263037161
Jarun,Trešnjevka - jug,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,DONJE VRAPČE 7356,,otok Tresnjevka u Jarunskom kompleksu; približno prema Open Street Map,GNSS,15.9192296839878,45.7824220802214
I. Kozari put na križanju s Kozari,Peščenica - Žitnjak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,GRAD ZAGREB 6950/1,,raskrizje I. Kozari put i Kozari; približno prema Open Street Map,GNSS,16.0523571390343,45.7919150314022
Jakuševečka ulica uz crkvu i groblje Jakuševec,Novi Zagreb - istok,Ostalo,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,JAKUŠEVEC 1153/2,,"unutar groblja Jakuševec, sjeverno od mrtvačnice; približno prema Open Street Map",GNSS,16.0201882534129,45.7579909487743
Križanje Japranska ulica - Paromliska cesta,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,TRNJE 5532,,Paromlinska - Japranska ulica (križanje); približno prema Open Street Map,GNSS,15.9770746019213,45.7979368282882
Bosutska - Sprečka na križanju,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5547/1,,dodano s Open Street Map,GNSS,15.9825917393699,45.797046842326
Okretište Dubec,Gornja Dubrava,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradsko stambeno-komunalno gospodarstvo d.o.o.,RESNIK	3642/1,,okretiste Dubec; približna po Google Street View,GNSS,16.0771665399846,45.8278885699315
Groblje Miroševac,Gornja Dubrava,Ostalo,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRANEŠINA 9609/1,,drinking_water; dodano s Open Street Map,GNSS,16.0399609387272,45.8435542810034
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8400/1,,"drinking_water; dodano s Open Street Map, kod glavnog ulaza",GNSS,15.9839918449366,45.835921584612
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB	8332/1,,"kraj kružnog trga, drinking_water; dodano s Open Street Map",GNSS,15.9877316255707,45.8428494263743
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,"drinking_water; dodano s Open Street Map, na kraju arkada",GNSS,15.9841513489422,45.8326560342106
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,drinking_water; dodano s Open Street Map,GNSS,15.9915837876628,45.8328496446664
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,,GNSS,15.9840707287853,45.8371556896273
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,,GNSS,15.9856250804194,45.8383422154774
Groblje Miroševac,Gornja Dubrava,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRANEŠINA 9609/1,,"kod zapadnog ulaza, preko puta crkve",GNSS,16.0387660522448,45.8449813266555
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,,GNSS,15.990211813809,45.8341387640014
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,,GNSS,15.9885490892158,45.8360137783937
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,,GNSS,15.9859043483767,45.8388220441123
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,,GNSS,15.9835954495994,45.8390452363043
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,srednji ulaz u nove arkade uz Rrmetsku cestu,GNSS,15.9823720541191,45.8402072962682
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,"na polju 120, križ na polju 121 i pano na polju 132",GNSS,15.9837468444096,45.8416296783549
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,uz stepenice i pokraj polja 156,GNSS,15.986386666699,45.8410699999264
Groblje Mirogoj,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8398/1,,"pokraj polja 153, iznad krematorija",GNSS,15.9844145885073,45.8435365686628
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,pokraj krematorija,GNSS,15.9845140174333,45.843734521204
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,"ispod uzidanih kazeta, ispod krematorija",GNSS,15.9848379328579,45.8440852445691
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 34,GNSS,15.9851245695479,45.8445376192609
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,u šumi ispod krematorija,GNSS,15.9858168349291,45.8441467364427
Krematorij,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 22a,GNSS,15.9862520531425,45.8446271034319
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 44,GNSS,15.986629156572,45.8440275226155
Krematorij,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 41,GNSS,15.987490052012,45.8440889737924
Krematorij,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,,GNSS,15.9877945126693,45.8435175955765
Krematorij,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 47,GNSS,15.9874871595381,45.8430776326746
Krematorij,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 43,GNSS,15.9873451393189,45.8434242606131
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 42,GNSS,15.9867939082295,45.8435980640419
Krematorij,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 43 (ima 2 zdenca na polju 43),GNSS,15.9870608901666,45.843750202646
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 4,GNSS,15.9853698244986,45.8453007112383
Krematorij,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 11,GNSS,15.9853944717209,45.8460192774354
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 3,GNSS,15.9847784032731,45.8455577433938
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 2,GNSS,15.9842121751172,45.8456654671021
Krematorij,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,polje 16a,GNSS,15.9841760513818,45.8465204102503
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,na dnu stepenica ispod krematorija,GNSS,15.9837934873299,45.8452544239369
Krematorij,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja Zagreb,GRAD ZAGREB 8332/1,,"ispod krematorija, preko puta polja 5 i 5a",GNSS,15.9832697790414,45.8454769143059
Dječji trg kod kbr. 1,Stenjevec,Pojilica,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradsko stambeno-komunalno gospodarstvo d.o.o.,DONJE VRAPČE 4986/56,,"sredina Djecjeg trga, voda malo curi (treba popravak)",GNSS,15.9043738873101,45.7991678145227
Lonjšćina kod kbr. 22,Podsljeme,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Nepoznato,GRAČANI 193,,ispred kbr 22 Lonscinjska,GNSS,15.9730801909793,45.8616754975813
SRC Svetice,Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Ustanova Upravljanje sportskim objektima,GRAD ZAGREB 7696/1,,"SRC Svetice, sjeverno od staze za trčanje",GNSS,16.0140936250674,45.8181491236122
Ivekovićeva ulica - s južne strane vježbališta kod kbr. 4,Peščenica - Žitnjak,Viktorija zdenac,u funkciji,DA,treba teren,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 7460/1,,"Ivekovićeva ulica, s južne strane vježbališta i dječjeg igrališta",Mobitel,16.0198008315693,45.8012022768757
Groblje Čučerje,Gornja Dubrava,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja,ČUČERJE NOVO 4219/6,,groblje Čučerje,GNSS,16.0585882691138,45.8932589062172
Groblje Čučerje,Gornja Dubrava,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,Gradska groblja,ČUČERJE NOVO 5821,,groblje Čučerje,GNSS,16.0571308196898,45.8926839245144
Park Emila Cossetta,Trešnjevka - jug,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",DONJE VRAPČE 5682/1,11297900,,GNSS,15.9017189536899,45.7948131892783
"dječje igralište, Ulica Rudolfa Ivankovića",Gornja Dubrava,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",RESNIK 3616/14,11296950,,GNSS,16.0787239653306,45.8304110276021
ulica Sitnice,Donja Dubrava,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",RESNIK 3169/74,11297914,sjeverno od dječjeg igrališta u Ulici Sitnice ,GNSS,16.0709719813416,45.8274976717355
"Spomen-park Dotrščina, ulaz Štefanovec",Podsljeme,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",KT-ZK neusklađeno,114549662,,GNSS,16.0283284039186,45.8423683150638
"Čret, Melinišće",Maksimir,Viktorija zdenac,,DA,,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",,11295105,,GNSS,16.0207448524108,45.8408410019109
Rapska 39,Trnje,Viktorija zdenac,,DA,,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",,11405009,,GNSS,16.003689610612,45.799249279728
Ulica potočnica,Sesvete,Viktorija zdenac,,DA,,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",,11435592,,GNSS,16.0912455402786,45.831609018733
"Gata, Tišinska ulica IV. odvojak",Novi Zagreb - istok,Viktorija zdenac,,DA,,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",,11404933,,GNSS,16.014308187305,45.7643911383419
Igralište Milekanska - Amerikanska ulica,Brezovica,Viktorija zdenac,,DA,,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",,11435703,,GNSS,15.9304047449553,45.715445708519
Radmanovačka 39,Novi Zagreb - zapad,Viktorija zdenac,,DA,,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",KLARA 1599/4,11404932,,GNSS,15.9701989208448,45.771249990482
Park kod križanja Selske i Prilaza baruna Filipovića,Črnomerec,Viktorija zdenac,,DA,,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",,11132643,,GNSS,15.942344093779,45.812637625197
Dubravica 109a,Podsused - Vrapče,Viktorija zdenac,,DA,,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",,11435593,,GNSS,15.8700047274854,45.8326478275227
"Trg dr. Franje Tuđmana, na sjevernom ulazu u park uz tramvajsku stanicu",Črnomerec,Viktorija zdenac,nije u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 5202/1,5737581618,"sjeveroistocni dio parka, uz tramvajsku stanicu (preko puta Ilice 156)",GNSS,15.9568417312098,45.8130085392504
Trg Eugena Kvaternika,Maksimir,TriBu 20,,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR NOVI 5192,,,GNSS,15.9980159547913,45.8144068399985
