lokacija,naziv_gc,tip_zdenca,status_odrz,aktivan_da_ne,teren_dane,vlasnik_ki,odrzava_ki,zkc_oznaka,broj_vodomjera,napomena_teren,pozicija_tocnost,lon,lat
"Hrvatske bratske zajednice, park za pse",Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 1290,2599252,"u ogradjenom parku, sjeveroistočni ugao NSB-a ",GNSS,15.9783496899083,45.7975929775927
"Maksimirski perivoj, sjeverno od Vidikovca",Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 7787/2,2608768,sjeverno od Vidikovca,GNSS,16.0214887598717,45.8250184482294
"Maksimirski perivoj, kod zapadnog ulaza Prilesje",Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 7787/2,2608770,"unutar parka, zapadni ulaz Prilesje, pored Sokolske mogile",GNSS,16.0150497931735,45.8234028787798
"Maksimirski perivoj, kod IV jezera",Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 7776/16,2652802,"juzno od IV. jezera, sjeverno od kbr 29",GNSS,16.0276351132429,45.8297397701395
"Križanje ulica Vinec i Črešnjevec, dječje igralište",Maksimir,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",REMETE 453,2705329,u djecjem parku na krizanju ulice Vinec i ulice Črešnjevec,GNSS,15.9916525248824,45.852954431874
"Gračansko dolje, kod kbr. 43",Podsljeme,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",REMETE 3725/1,21906942,zapadno od kbr 43 Gračansko dolje ,GNSS,15.9764550378225,45.8604832525182
Lukšić gornji ispred kbr. 30A,Črnomerec,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ŠESTINE 3770/1,1905178,ispred kbr 30A Lukšić Gornji,GNSS,15.9391974387911,45.8548759532494
Talani - sjeverno od kbr 37A,Črnomerec,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ŠESTINE 2954,2166809,Ulica Talani - zapadno od trafostanice,GNSS,15.9262397118216,45.8496357937088
"Krapinska, park za pse",Trešnjevka - sjever,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TREŠNJEVKA NOVA 546,2714456,zapadni ulaz u park za pse,GNSS,15.9442041419982,45.8057738559292
Ulica Jankomir kod kbr. 8,Stenjevec,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",JANKOMIR 5/430,2247847,"ulica Jankomir, sjeverno od kucnog broja  8",GNSS,15.878040624451,45.8097714842882
Park Lujze Janović Wagner,Podsused - Vrapče,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",STENJEVEC 226/6,2692507,sjeveroistočni ulaz u park,GNSS,15.8883130162897,45.8163535781341
"Ulica Sigetje - Gajnice, park za pse",Podsused - Vrapče,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",STENJEVEC 1305,2521444,unutar parka za pse,GNSS,15.8761625709167,45.8140000118856
"Park 101. brigade Hrvatske vojske, dječji park",Podsused - Vrapče,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",STENJEVEC 1005,2705364,ulaz u djecji park,GNSS,15.8745822480561,45.8162324023095
"Male Putine kod kbr. 11, dječji park",Podsused - Vrapče,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GORNJI STENJEVEC 816/1,2701780,"ispred kbr 11 Male Putine , ulaz u dječji park",GNSS,15.8869700898375,45.8203587986857
"Ulica Majke Terezije - Vrapče, dječji park južno od bolnice",Podsused - Vrapče,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",VRAPČE NOVO 1441,2603663,"ispod bolnice, sjeveroistocno od kosarkaskog igralista. nasuprot ulice Majke Terezije 12",GNSS,15.8982395031405,45.8146439498289
Donje Svetice kod kbr. 103,Peščenica - Žitnjak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 7609/29,1729666,peko puta LIDL trgovine,GNSS,16.0151600068769,45.8020471465137
Granešinska - Tenjska južno od kbr. 1,Peščenica - Žitnjak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB neusklađeno,1973217,južno od kbr 1 Tenjska ulica; izvorno SKI lokacija,GNSS,16.0144980688456,45.8135293907602
Kozari I. odvojak južno od igrališta,Peščenica - Žitnjak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",RESNIK 1319/1,2692432,sjeverna strana Kozari I. odvojak (juzno od igralista),GNSS,16.0558930681627,45.7933790430586
Ulica Damira Tomljanovića Gavrana-park Bundek,Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 217/1,2620530,Bundek park,GNSS,15.9890741336705,45.7838885937373
Obala 8. svibnja 1945.-park Bundek,Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 217/1,2616805,izvorno SKI lokacija,GNSS,15.9839066195966,45.7874002125688
Ulica Damira Tomljanovića Gavrana-park Bundek,Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 217/1,2616639,izvorno SKI lokacija,GNSS,15.9833563641285,45.783931141148
Ulica Damira Tomljanovića Gavrana-park Bundek,Novi Zagreb - istok,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",ZAPRUDSKI OTOK 217/1,2620533,izvorno SKI lokacija,GNSS,15.9867354480099,45.7842108306981
